architecture,latency_ms
agentic_graph_rag,1762.0
agentic_graph_rag,3049.0
agentic_graph_rag,2046.0
agentic_graph_rag,2048.0
agentic_graph_rag,2353.0
agentic_graph_rag,2048.0
agentic_graph_rag,2457.0
agentic_graph_rag,2354.0
agentic_graph_rag,2559.0
agentic_graph_rag,1797.0
agentic_graph_rag,1786.0
agentic_graph_rag,2066.0
agentic_graph_rag,2333.0
agentic_graph_rag,1945.0
agentic_graph_rag,1842.0
agentic_graph_rag,2656.0
agentic_graph_rag,1951.0
agentic_graph_rag,1469.0
agentic_graph_rag,2112.0
agentic_graph_rag,2045.0
agentic_graph_rag,2251.0
agentic_graph_rag,2251.0
agentic_graph_rag,2764.0
agentic_graph_rag,2460.0
agentic_graph_rag,1736.0
agentic_graph_rag,2740.0
agentic_graph_rag,2344.0
agentic_graph_rag,2081.0
agentic_graph_rag,2764.0
agentic_graph_rag,1739.0
agentic_graph_rag,2254.0
agentic_graph_rag,2351.0
agentic_graph_rag,1638.0
agentic_graph_rag,2662.0
agentic_graph_rag,2353.0
agentic_graph_rag,1946.0
agentic_graph_rag,3242.0
agentic_graph_rag,1977.0
agentic_graph_rag,2252.0
agentic_graph_rag,2251.0
agentic_graph_rag,2356.0
agentic_graph_rag,1915.0
agentic_graph_rag,1918.0
agentic_graph_rag,1998.0
agentic_graph_rag,2628.0
agentic_graph_rag,2081.0
agentic_graph_rag,2251.0
agentic_graph_rag,184012.0
agentic_graph_rag,3438.0
agentic_graph_rag,2089.0
agentic_graph_rag,2456.0
agentic_graph_rag,2765.0
agentic_graph_rag,2526.0
agentic_graph_rag,2488.0
agentic_graph_rag,2763.0
agentic_graph_rag,2661.0
agentic_graph_rag,1794.0
agentic_graph_rag,3017.0
agentic_graph_rag,2456.0
agentic_graph_rag,1944.0
agentic_graph_rag,2575.0
agentic_graph_rag,2439.0
agentic_graph_rag,2662.0
agentic_graph_rag,2763.0
agentic_graph_rag,2047.0
agentic_graph_rag,2354.0
agentic_graph_rag,2252.0
agentic_graph_rag,2350.0
agentic_graph_rag,2346.0
agentic_graph_rag,2366.0
agentic_graph_rag,2548.0
agentic_graph_rag,2159.0
agentic_graph_rag,2252.0
agentic_graph_rag,2764.0
agentic_graph_rag,2929.0
agentic_graph_rag,2188.0
agentic_graph_rag,2661.0
agentic_graph_rag,2866.0
agentic_graph_rag,1651.0
agentic_graph_rag,2319.0
agentic_graph_rag,3583.0
agentic_graph_rag,2457.0
agentic_graph_rag,3071.0
agentic_graph_rag,2456.0
agentic_graph_rag,3071.0
agentic_graph_rag,2354.0
agentic_graph_rag,5787.0
agentic_graph_rag,2944.0
agentic_graph_rag,3041.0
agentic_graph_rag,3378.0
agentic_graph_rag,2338.0
agentic_graph_rag,2370.0
agentic_graph_rag,7989.0
agentic_graph_rag,2922.0
agentic_graph_rag,3068.0
agentic_graph_rag,2431.0
agentic_graph_rag,2984.0
agentic_graph_rag,2364.0
agentic_graph_rag,2937.0
agentic_graph_rag,3059.0
